codigo_mao_de_obra;descricao;unidade;operacao;ups;tipo
6655;REINST SERV TEC ESPACADOR BT LM;UN;INSTALAR;0.14; LM 
6655;REINST SERV TEC ESPACADOR BT LM;UN;RETIRAR;0.06; LM 
6975;REINST AFASTADOR 500MM LM;UN;INSTALAR;0.08; LM 
6975;REINST AFASTADOR 500MM LM;UN;RETIRAR;0.04; LM 
7540;REINST CADEIA DISCO COMPLETA LM;UN;INSTALAR;1.28; LM 
7540;REINST CADEIA DISCO COMPLETA LM;UN;RETIRAR;0.55; LM 
6436;REINST CH MONO FACA LM;UN;INSTALAR;0.91; LM 
6436;REINST CH MONO FACA LM;UN;RETIRAR;0.39; LM 
6947;REINST CONDUT ALUMIN ACIMA DE 2/0 AWG LM;KM;INSTALAR;18.62; LM 
6947;REINST CONDUT ALUMIN ACIMA DE 2/0 AWG LM;KM;RETIRAR;7.98; LM 
6948;REINST CONDUT AL ATE 2/0 AWG INCLUS LM;KM;INSTALAR;14.21; LM 
6948;REINST CONDUT AL ATE 2/0 AWG INCLUS LM;KM;RETIRAR;6.09; LM 
6950;REINST CONDUTOR ALUM PROT =< 95 MMý LM;KM;INSTALAR;18.62; LM 
6950;REINST CONDUTOR ALUM PROT =< 95 MMý LM;KM;RETIRAR;7.98; LM 
6949;REINST CONDUTOR ALUM PROT > 95 MMý LM;KM;INSTALAR;18.62; LM 
6949;REINST CONDUTOR ALUM PROT > 95 MMý LM;KM;RETIRAR;7.98; LM 
